table,seq,column,is_pk,is_fk,id,type,size,description,d_has_codes
chemical_input,45,va,,,c0elTsAucL0200J,REAL,,VA,
chemical_input,46,vt,,,c0elTsAucL0200K,REAL,,VT,
chemical_input,47,wa,,,c0elTsAucL0200L,REAL,,WA,
chemical_input,48,wi,,,c0elTsAucL0200M,REAL,,WI,
chemical_input,49,wv,,,c0elTsAucL0200N,REAL,,WV,
chemical_input,50,wy,,,c0elTsAucL0200O,REAL,,WY,
chemical_input,51,column49,,,c0elTsAucL0200P,VARCHAR,0,,
chemical_input,52,column50,,,c0elTsAucL0200Q,VARCHAR,0,,
chemical_input,53,column51,,,c0elTsAucL0200R,VARCHAR,0,,
chemical_input,54,column52,,,c0elTsAucL0200S,VARCHAR,0,,
chemical_input,55,column53,,,c0elTsAucL0200T,VARCHAR,0,,
chemical_input,56,column54,,,c0elTsAucL0200U,VARCHAR,0,,
chemical_input,57,column55,,,c0elTsAucL0200V,VARCHAR,0,,
chemical_input,58,column56,,,c0elTsAucL0200W,VARCHAR,0,,
chemical_input,59,column57,,,c0elTsAucL0200X,VARCHAR,0,,
chemical_input,60,column58,,,c0elTsAucL0200Y,VARCHAR,0,,
chemical_input,61,column59,,,c0elTsAucL0200Z,VARCHAR,0,,
chemical_input,62,column60,,,c0elTsAucL02010,VARCHAR,0,,
chemical_input,63,column61,,,c0elTsAucL02011,VARCHAR,0,,
chemical_input,64,column62,,,c0elTsAucL02012,VARCHAR,0,,
chemical_input,65,column63,,,c0elTsAucL02013,VARCHAR,0,,
chemical_input,66,column64,,,c0elTsAucL02014,VARCHAR,0,,
,,,,,,,,,
other_inputs,1,id,1,,t0elTsAucL03,INTEGER,,Other intermediate inputs,
other_inputs,2,year,,,c0elTsAucL03002,INTEGER,4,Year,
other_inputs,3,al,,,c0elTsAucL03003,REAL,,AL,
other_inputs,4,ar,,,c0elTsAucL03004,REAL,,AR,
other_inputs,5,az,,,c0elTsAucL03005,REAL,,AZ,
